year,sev_word,aro_word,val_word
1970,7.890625,4.371875,3.51875
1971,7.715384615,4.137948718,3.577435897
1972,7.823125,4.2340625,3.5890625
1973,7.75,3.778888889,3.971111111
1974,7.522,3.938,3.584
1975,7.92962963,4.283333333,3.646296296
1976,8.153571429,4.183035714,3.970535714
1977,8.238571429,4.226285714,4.012285714
1978,7.701428571,4.166857143,3.534571429
1979,8.192615385,4.355230769,3.837384615
1980,7.905507246,4.210072464,3.695434783
1981,8.212142857,4.403928571,3.808214286
1982,7.819709302,4.190290698,3.629418605
1983,8.137806122,4.423826531,3.713979592
1984,7.902173913,4.133291925,3.768881988
1985,7.970991736,4.24731405,3.723677686
1986,7.863201439,4.137697842,3.725503597
1987,7.986504854,4.182168285,3.80433657
1988,8.292408759,4.360145985,3.932262774
1989,7.937209302,4.209186047,3.728023256
1990,8.012244898,4.239795918,3.77244898
1991,7.762069632,4.180367505,3.581702128
1992,7.969720812,4.206903553,3.762817259
1993,7.965396384,4.286328234,3.67906815
1994,8.000327869,4.253206967,3.747120902
1995,7.925038435,4.244458421,3.680580014
1996,7.908272319,4.198933847,3.709338471
1997,7.992421194,4.249141516,3.743279678
1998,7.890059016,4.194780328,3.695278689
1999,7.925060317,4.198133333,3.726926984
2000,7.875030812,4.182358543,3.692672269
2001,7.915073314,4.186744868,3.728328446
2002,7.873329985,4.176800603,3.696529382
2003,7.900242674,4.202696886,3.697545788
2004,7.896770548,4.195921233,3.700849315
2005,7.893808434,4.179532527,3.714275907
2006,7.84994396,4.179389788,3.670554172
2007,7.783459767,4.142403143,3.641056624
2008,7.879680768,4.193065144,3.686615624
2009,7.88428849,4.183987373,3.700301117
2010,7.920650264,4.199525483,3.72112478
2011,7.94710471,4.232628259,3.714476451
2012,7.848674789,4.177572634,3.671102156
2013,7.851562712,4.194494915,3.657067797
2014,7.860733603,4.179680972,3.681052632
2015,7.881495115,4.211589976,3.669905139
2016,7.866833314,4.190036726,3.676796588
2017,7.81552796,4.172643608,3.642884352
